#mH_GeV 	H_mumu      Err_Hi  Err_Lo
128.1	2.01E-04	+5.68	-5.62
128.2	2.00E-04	+5.63	-5.64
128.3	2.00E-04	+5.61	-5.64
128.4	1.99E-04	+5.69	-5.57
128.5	1.99E-04	+5.64	-5.57
128.6	1.98E-04	+5.62	-5.57
128.7	1.97E-04	+5.59	-5.57
128.8	1.97E-04	+5.64	-5.51
128.9	1.96E-04	+5.60	-5.50
129.0	1.95E-04	+5.61	-5.54
129.1	1.95E-04	+5.54	-5.54
129.2	1.94E-04	+5.59	-5.52
129.3	1.94E-04	+5.54	-5.53
129.4	1.93E-04	+5.55	-5.51
129.5	1.92E-04	+5.55	-5.44
129.6	1.92E-04	+5.53	-5.47
129.7	1.91E-04	+5.47	-5.48
129.8	1.90E-04	+5.50	-5.47
129.9	1.90E-04	+5.49	-5.45
130.0	1.89E-04	+5.53	-5.41
130.5	1.86E-04	+5.46	-5.35
131.0	1.83E-04	+5.33	-5.37
131.5	1.79E-04	+5.33	-5.31
132.0	1.76E-04	+5.27	-5.25
132.5	1.73E-04	+5.15	-5.22
133.0	1.69E-04	+5.20	-5.12
133.5	1.66E-04	+5.09	-5.09
134.0	1.63E-04	+5.07	-4.96
134.5	1.59E-04	+4.94	-5.01
135.0	1.56E-04	+4.96	-4.94
135.5	1.52E-04	+4.87	-4.86
136.0	1.49E-04	+4.89	-4.79
136.5	1.46E-04	+4.75	-4.81
137.0	1.42E-04	+4.67	-4.76
137.5	1.39E-04	+4.70	-4.66
138.0	1.36E-04	+4.59	-4.64
138.5	1.32E-04	+4.55	-4.53
139.0	1.29E-04	+4.45	-4.58
139.5	1.26E-04	+4.39	-4.48
140.0	1.22E-04	+4.37	-4.48
140.5	1.19E-04	+4.31	-4.36
141.0	1.16E-04	+4.32	-4.31
141.5	1.12E-04	+4.22	-4.20
142.0	1.09E-04	+4.14	-4.22
142.5	1.06E-04	+4.10	-4.16
143.0	1.03E-04	+4.18	-4.05
143.5	9.97E-05	+4.08	-4.07
144.0	9.65E-05	+4.01	-4.02
144.5	9.35E-05	+3.91	-3.98
145.0	9.04E-05	+3.92	-3.88
145.5	8.74E-05	+3.84	-3.88
146.0	8.44E-05	+3.82	-3.85
146.5	8.15E-05	+3.78	-3.74
147.0	7.85E-05	+3.74	-3.70
147.5	7.57E-05	+3.65	-3.66
148.0	7.28E-05	+3.66	-3.61
148.5	7.00E-05	+3.56	-3.62
149.0	6.72E-05	+3.51	-3.57
149.5	6.45E-05	+3.54	-3.47
150.0	6.18E-05	+3.45	-3.49
152.0	5.13E-05	+3.34	-3.27
154.0	4.13E-05	+3.11	-3.19
156.0	3.17E-05	+2.99	-3.04
158.0	2.24E-05	+2.86	-2.86
160.0	1.37E-05	+2.79	-2.71
162.0	7.87E-06	+2.72	-2.66
164.0	5.43E-06	+2.67	-2.64
165.0	4.78E-06	+2.65	-2.64
166.0	4.30E-06	+2.63	-2.66
168.0	3.63E-06	+2.62	-2.65
170.0	3.19E-06	+2.65	-2.63
172.0	2.86E-06	+2.62	-2.62
174.0	2.60E-06	+2.63	-2.65
175.0	2.49E-06	+2.64	-2.64
176.0	2.39E-06	+2.60	-2.65
178.0	2.21E-06	+2.61	-2.66
180.0	2.03E-06	+2.69	-2.60
182.0	1.85E-06	+2.58	-2.64
184.0	1.67E-06	+2.59	-2.63
185.0	1.59E-06	+2.58	-2.64
186.0	1.51E-06	+2.58	-2.66
188.0	1.40E-06	+2.59	-2.66
190.0	1.30E-06	+2.63	-2.53
192.0	1.22E-06	+2.54	-2.63
194.0	1.15E-06	+2.63	-2.55
195.0	1.13E-06	+2.64	-2.63
196.0	1.10E-06	+2.56	-2.63
198.0	1.04E-06	+2.57	-2.64
200.0	9.95E-07	+2.57	-2.64
202.0	9.52E-07	+2.58	-2.63
204.0	9.12E-07	+2.63	-2.58
206.0	8.76E-07	+2.59	-2.63
208.0	8.42E-07	+2.64	-2.58
210.0	8.11E-07	+2.64	-2.57
212.0	7.82E-07	+2.58	-2.63
214.0	7.54E-07	+2.59	-2.64
216.0	7.28E-07	+2.59	-2.64
218.0	7.04E-07	+2.58	-2.59
220.0	6.81E-07	+2.64	-2.58
222.0	6.59E-07	+2.59	-2.59
224.0	6.38E-07	+2.60	-2.59
226.0	6.18E-07	+2.60	-2.60
